Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_10,sma_25,sma_75,sma_125,sma_200
1985-09-16,12585.700195,12585.700195,12585.700195,12585.700195,12585.700195,0,12583.846093599996,12548.102929699995,12595.844687480005,12673.337265626666,12604.184343759995,
1985-09-17,12591.509766,12591.509766,12591.509766,12591.509766,12591.509766,0,12598.240038999997,12544.157910199994,12606.436679680002,12673.44660157333,12605.027218759995,
1985-09-18,12529.660156,12529.660156,12529.660156,12529.660156,12529.660156,0,12579.122070199996,12544.176953099995,12610.837500000001,12671.265937506665,12604.857937503995,
1985-09-19,12564.990234,12564.990234,12564.990234,12564.990234,12564.990234,0,12571.512109199995,12551.495995999996,12614.076328120003,12669.251002599998,12604.545703127995,
1985-09-20,12666.950195,12666.950195,12666.950195,12666.950195,12666.950195,0,12587.762109199995,12572.806054599996,12617.431132800002,12668.589140613334,12605.235226559995,
1985-09-23,12666.950195,12666.950195,12666.950195,12666.950195,12666.950195,0,12604.012109199995,12593.929101399997,12618.5071484,12668.370611960001,12605.153624991994,
1985-09-24,12755.599609,12755.599609,12755.599609,12755.599609,12755.599609,0,12636.830077799994,12617.535058399999,12623.36914056,12668.326210906669,12606.159539047994,
1985-09-25,12704.80957,12704.80957,12704.80957,12704.80957,12704.80957,0,12671.859960599995,12625.491015399999,12623.36914056,12667.750208293337,12606.331937479994,
1985-09-26,12689.5,12689.5,12689.5,12689.5,12689.5,0,12696.761913799995,12634.137011499999,12621.58714836,12667.381406213335,12606.831140607994,
1985-09-27,12639.0,12639.0,12639.0,12639.0,12639.0,0,12691.171874799995,12639.466992,12619.49074212,12666.764739546668,12607.589218735995,
1985-09-30,12700.110352,12700.110352,12700.110352,12700.110352,12700.110352,0,12697.803906199997,12650.9080077,12621.42437496,12665.842473933335,12608.102421863996,
1985-10-01,12685.360352,12685.360352,12685.360352,12685.360352,12685.360352,0,12683.756054799998,12660.2930663,12621.1823828,12665.099140600001,12608.541867175996,
1985-10-02,12720.5,12720.5,12720.5,12720.5,12720.5,0,12686.8941408,12679.3770507,12622.5823828,12664.391276013335,12609.490429671998,
1985-10-03,12700.860352,12700.860352,12700.860352,12700.860352,12700.860352,0,12689.1662112,12692.9640625,12621.464804679998,12664.696484346669,12610.506914047997,
1985-10-04,12713.830078,12713.830078,12713.830078,12713.830078,12713.830078,0,12704.132226799999,12697.6520508,12621.491992160001,12665.750755173336,12611.513476543996,
1985-10-07,12792.0,12792.0,12792.0,12792.0,12792.0,0,12722.510156399998,12710.1570313,12624.10640624,12666.098359333335,12613.427632791996,
1985-10-08,12835.209961,12835.209961,12835.209961,12835.209961,12835.209961,0,12752.480078199998,12718.1180665,12632.27640624,12666.074231733335,12618.451070295994,
1985-10-09,12857.200195,12857.200195,12857.200195,12857.200195,12857.200195,0,12779.820117199997,12733.357129,12645.38562496,12665.36636714667,12622.892195295995,
1985-10-10,12857.200195,12857.200195,12857.200195,12857.200195,12857.200195,0,12811.088085799996,12750.1271485,12660.001640559998,12665.574374960002,12629.327234351997,
1985-10-11,12949.919922,12949.919922,12949.919922,12949.919922,12949.919922,0,12858.306054599996,12781.219140700001,12679.844453079997,12666.478776000004,12636.008195287997,
1985-10-14,13017.290039,13017.290039,13017.290039,13017.290039,13017.290039,0,12903.364062399996,12812.937109399998,12702.307265559995,12667.788906213336,12642.707156223998,
1985-10-15,13055.519531,13055.519531,13055.519531,13055.519531,13055.519531,0,12947.425976399996,12849.9530273,12723.746445239996,12669.67916662667,12650.158195287997,
1985-10-16,13036.55957,13036.55957,13036.55957,13036.55957,13036.55957,0,12983.297851399995,12881.5589843,12740.198828039996,12671.175963493339,12656.708515599998,
1985-10-17,13021.139648,13021.139648,13021.139648,13021.139648,13021.139648,0,13016.085741999996,12913.5869139,12756.922812399996,12671.863294213339,12662.206671847996,
1985-10-18,12973.219727,12973.219727,12973.219727,12973.219727,12973.219727,0,13020.745702999997,12939.525878800001,12772.423593679998,12671.994895786673,12666.751632791998,
1985-10-21,13023.209961,13023.209961,13023.209961,13023.209961,13023.209961,0,13021.929687399996,12962.6468749,12789.923984319998,12671.909023386674,12671.696515607999,
1985-10-22,13001.69043,13001.69043,13001.69043,13001.69043,13001.69043,0,13011.163867199997,12979.294921799998,12806.33121088,12671.651432240005,12676.299718735996,
