,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_10,sma_25,sma_75,sma_125,sma_200,%K,%D
1260,1260,1990-01-24,2547.75,2619.590088,2534.22998,2604.5,2604.5,28070000,2632.909960799995,2663.554980399995,2713.63958004,2688.307050746668,2691.8488691199955,2608.418292219998,23.43817957088623,20.720928504192262
1261,1261,1990-01-25,2615.77002,2628.830078,2546.169922,2561.040039,2561.040039,22160000,2611.841991999995,2643.591992099995,2708.2567773199994,2685.2354524400007,2691.2552695119957,2609.6252429049987,8.942348061777313,15.799609539232383
1262,1262,1990-01-26,2561.709961,2591.669922,2516.889893,2559.22998,2559.22998,25730000,2588.1080075999953,2630.5939939999953,2703.10877924,2682.220784466668,2690.4438300559955,2610.9413928049976,13.350171057465019,15.394579041033348
1263,1263,1990-01-29,2563.290039,2583.560059,2522.969971,2553.379883,2553.379883,16540000,2578.693993999995,2618.994970599995,2697.59877924,2679.2877148133343,2689.7419081839953,2612.0229919249978,11.505588271114982,15.812921806738405
1264,1264,1990-01-30,2559.22998,2576.129883,2513.060059,2543.23999,2543.23999,24910000,2564.2779783999954,2604.0569578999953,2690.87278312,2676.399713506668,2688.828308575995,2613.0502416799977,9.40243407081031,13.82875630881037
1265,1265,1990-01-31,2556.75,2600.899902,2546.850098,2590.540039,2590.540039,22510000,2561.4859861999953,2597.197973499995,2686.12398428,2676.6834472266682,2688.2597480319946,2614.1059423649976,25.123218100114713,15.092269073495668
1266,1266,1990-02-01,2594.139893,2611.48999,2571.850098,2586.26001,2586.26001,19800000,2566.529980399996,2589.185986199995,2680.5983885999995,2675.735182253335,2687.722228503995,2615.1026928549977,24.58601952010343,15.604101416689986
1267,1267,1990-02-02,2581.97998,2623.649902,2577.030029,2602.699951,2602.699951,18700000,2575.2239745999955,2581.6659910999947,2675.41438468,2675.254781866668,2686.9839081919954,2616.229293194998,30.107781554279526,16.11476819545925
1268,1268,1990-02-05,2599.320068,2633.560059,2592.1201170000004,2622.52002,2622.52002,13650000,2589.052001999996,2583.8729979999944,2670.1871874399994,2674.973050106668,2686.3707089759955,2617.2945934899976,36.76484343296566,19.57431026846182
1269,1269,1990-02-06,2618.459961,2629.5,2588.290039,2606.310059,2606.310059,16210000,2601.6660157999954,2582.9719970999945,2662.0335937199993,2673.9478515466685,2685.732548823995,2618.312744124998,34.510200754590244,21.773078439410604
1270,1270,1990-02-07,2593.02002,2651.350098,2579.280029,2640.090088,2640.090088,20750000,2611.5760255999962,2586.5310058999944,2655.247998039999,2673.2938541466683,2685.1522304639952,2619.5789440749977,47.01160110081952,24.13042059240393
1271,1271,1990-02-08,2643.919922,2674.320068,2622.300049,2644.3701170000004,2644.3701170000004,20620000,2623.198046999996,2594.8640136999943,2649.179599599999,2673.0466568800016,2684.8352714799953,2620.8552941699977,58.920460702248754,29.128231856451077
1272,1272,1990-02-09,2647.52002,2666.669922,2628.149902,2648.199951,2648.199951,15590000,2632.298046999996,2603.7610107999944,2644.177597639999,2672.899723280001,2684.597511711996,2622.001343974998,68.1389628955168,34.60711104025626
1273,1273,1990-02-12,2642.790039,2652.47998,2610.590088,2619.139893,2619.139893,12420000,2631.622021599996,2610.337011799994,2637.168388679999,2672.4445214666684,2684.048390623996,2623.0030431949976,53.486574289171266,38.80520964206188
1274,1274,1990-02-13,2622.75,2639.189941,2592.570068,2624.100098,2624.100098,18920000,2635.180029399996,2618.423022599994,2631.492392599999,2672.5827897066683,2683.494871095996,2624.0487438799983,55.98756211332275,43.46372244631313
1275,1275,1990-02-14,2625.669922,2643.689941,2608.110107,2624.320068,2624.320068,14730000,2632.026025399996,2621.8010254999945,2626.439599599999,2672.950791000001,2683.0523925759962,2625.1560436849977,60.52336912842994,47.003737549144645
1276,1276,1990-02-15,2622.300049,2658.780029,2614.860107,2649.550049,2649.550049,18180000,2633.062011799996,2628.1300293999943,2621.994804679999,2673.565058586668,2682.745033199996,2626.435294174998,74.24800807903681,51.96993640503799
1277,1277,1990-02-16,2652.929932,2669.3701170000004,2623.649902,2635.590088,2635.590088,23130000,2630.540039199996,2631.4190430999947,2619.8500097599986,2673.438525386668,2682.6537539039964,2627.6887451049984,71.96218671943649,56.15537692155368
1278,1278,1990-02-20,2608.780029,2619.139893,2579.050049,2596.850098,2596.850098,17460000,2626.082080199996,2628.8520508999945,2616.9492089999985,2672.784528000001,2682.220634767997,2628.7631957899985,51.95958968351536,57.67485154660865
1279,1279,1990-02-21,2563.51001,2602.47998,2556.310059,2583.560059,2583.560059,20680000,2617.974072399996,2626.5770508999944,2612.5868066799985,2672.1445280000007,2681.4642343839964,2629.798646229999,43.718216585241514,58.59565312967377
1280,1280,1990-02-22,2594.820068,2622.300049,2568.02002,2574.77002,2574.77002,21200000,2608.064062799996,2620.0450440999944,2609.2124121599977,2671.414661466668,2680.1852753999965,2630.8158459399992,38.26736794985543,57.72122981457735
1281,1281,1990-02-23,2557.879883,2591.439941,2540.98999,2564.189941,2564.189941,19600000,2590.992041199996,2612.027026499994,2605.1248144799983,2671.174928386668,2678.839914071997,2631.764545889999,31.706485890125524,54.999832333365035
1282,1282,1990-02-26,2565.77002,2606.300049,2560.129883,2602.47998,2602.47998,17800000,2584.370019599997,2607.4550293999937,2602.108017599999,2671.2462630133346,2677.712873055997,2632.8625463749977,55.45077267110913,53.73101331092427
1283,1283,1990-02-27,2601.350098,2637.840088,2592.1201170000004,2617.1201170000004,2617.1201170000004,21700000,2588.4240233999967,2607.253051799994,2602.774824239999,2671.1630631466683,2676.8367949279973,2633.749647204997,64.52936387967114,54.83529226997425
1284,1284,1990-02-28,2615.98999,2652.47998,2603.600098,2627.25,2627.25,22990000,2597.1620115999967,2607.5680419999944,2603.2520215199993,2671.477197266669,2676.029595711997,2634.566447739997,64.69658706717324,55.70619476535931
1285,1285,1990-03-01,2621.6201170000004,2655.629883,2607.879883,2635.590088,2635.590088,23220000,2609.326025199997,2608.6950439999937,2604.495625039999,2671.610263680002,2675.216156255997,2635.4771484249977,70.95180578833826,56.74903843135013
1286,1286,1990-03-02,2639.189941,2669.820068,2630.179932,2660.360107,2660.360107,20100000,2628.5600583999967,2609.7760497999943,2608.4684277599986,2672.0626660133357,2674.482316407997,2636.466799299997,89.5297736194229,58.27721498538874
1287,1287,1990-03-05,2654.72998,2675.219971,2636.709961,2649.550049,2649.550049,19790000,2637.974072199996,2611.1720458999944,2612.0812305199984,2672.5866666666684,2673.721277343997,2637.363948959997,80.87616357481265,59.16861267092636
1288,1288,1990-03-06,2651.800049,2684.459961,2638.060059,2676.800049,2676.800049,22340000,2649.910058599996,2619.1670409999947,2617.0180371599977,2673.176266280002,2673.3773574239976,2638.242448714997,94.66096497642697,63.43875020021752
1289,1289,1990-03-07,2678.830078,2696.850098,2656.080078,2669.590088,2669.590088,22540000,2658.378076199996,2627.7700438999946,2622.0720410799977,2673.6286686266685,2673.0790390639977,2639.080299054997,82.5099505256342,67.31792359425678
1290,1290,1990-03-08,2672.52002,2705.179932,2661.26001,2696.169922,2696.169922,21850000,2670.494042999996,2639.9100340999953,2626.297236399998,2674.208802093335,2672.972078127997,2640.171098614997,94.5124470535473,72.94243150462597
1291,1291,1990-03-09,2687.389893,2705.629883,2665.540039,2683.330078,2683.330078,21700000,2675.088037199996,2651.8240477999943,2630.1800391199977,2674.8926692800023,2672.8034394559977,2641.1683984199976,86.45540604183938,78.41732351979735
1292,1292,1990-03-12,2672.52002,2698.649902,2661.939941,2686.709961,2686.709961,16960000,2682.520019599996,2660.2470458999946,2633.540439519998,2675.524934906668,2672.6390390639976,2642.188997784997,88.50830035464125,81.72307628815057
